fecha_hora,cantidad_pasos,dias
2017-01-01,31183.0,Sunday
2017-01-02,51568.0,Monday
2017-01-03,51093.0,Tuesday
2017-01-04,53332.0,Wednesday
2017-01-05,56486.0,Thursday
2017-01-06,57081.0,Friday
2017-01-07,41587.0,Saturday
2017-01-08,36065.0,Sunday
2017-01-09,53036.0,Monday
2017-01-10,53601.0,Tuesday
2017-01-11,54523.0,Wednesday
2017-01-12,56042.0,Thursday
2017-01-13,59651.0,Friday
2017-01-14,49014.0,Saturday
2017-01-15,40546.0,Sunday
2017-01-16,54061.0,Monday
2017-01-17,53940.0,Tuesday
2017-01-18,54468.0,Wednesday
2017-01-19,55548.0,Thursday
2017-01-20,57337.0,Friday
2017-01-21,42057.0,Saturday
2017-01-22,39804.0,Sunday
2017-01-23,53409.0,Monday
2017-01-24,50855.0,Tuesday
2017-01-25,53657.0,Wednesday
2017-01-26,55105.0,Thursday
2017-01-27,57506.0,Friday
2017-01-28,42831.0,Saturday
2017-01-29,41218.0,Sunday
2017-01-30,55814.0,Monday
2017-01-31,52842.0,Tuesday
2017-02-01,55616.0,Wednesday
2017-02-02,57795.0,Thursday
2017-02-03,59423.0,Friday
2017-02-04,42667.0,Saturday
2017-02-05,35244.0,Sunday
2017-02-06,54963.0,Monday
2017-02-07,53979.0,Tuesday
2017-02-08,56618.0,Wednesday
2017-02-09,57882.0,Thursday
2017-02-10,59319.0,Friday
2017-02-11,45366.0,Saturday
2017-02-12,35647.0,Sunday
2017-02-13,51546.0,Monday
2017-02-14,54678.0,Tuesday
2017-02-15,54004.0,Wednesday
2017-02-16,53871.0,Thursday
2017-02-17,50876.0,Friday
2017-02-18,40188.0,Saturday
2017-02-19,38714.0,Sunday
2017-02-20,50629.0,Monday
2017-02-21,45525.0,Tuesday
2017-02-22,50722.0,Wednesday
2017-02-23,49708.0,Thursday
2017-02-24,58213.0,Friday
2017-02-25,44850.0,Saturday
2017-02-26,35748.0,Sunday
2017-02-27,34497.0,Monday
2017-02-28,34825.0,Tuesday
2017-03-01,49891.0,Wednesday
2017-03-02,52832.0,Thursday
2017-03-03,53876.0,Friday
2017-03-04,40755.0,Saturday
2017-03-05,38232.0,Sunday
2017-03-06,47117.0,Monday
2017-03-07,36627.0,Tuesday
2017-03-08,48173.0,Wednesday
2017-03-09,51247.0,Thursday
2017-03-10,56069.0,Friday
2017-03-11,42768.0,Saturday
2017-03-12,39493.0,Sunday
2017-03-13,49738.0,Monday
2017-03-14,45608.0,Tuesday
2017-03-15,41210.0,Wednesday
2017-03-16,51752.0,Thursday
2017-03-17,53757.0,Friday
2017-03-18,45887.0,Saturday
2017-03-19,42842.0,Sunday
2017-03-20,48803.0,Monday
2017-03-21,49320.0,Tuesday
2017-03-22,45169.0,Wednesday
2017-03-23,57317.0,Thursday
2017-03-24,35383.0,Friday
2017-03-25,43370.0,Saturday
2017-03-26,39721.0,Sunday
2017-03-27,45029.0,Monday
2017-03-28,49792.0,Tuesday
2017-03-29,51074.0,Wednesday
2017-03-30,46235.0,Thursday
2017-03-31,52127.0,Friday
2017-04-01,50995.0,Saturday
2017-04-02,38045.0,Sunday
2017-04-03,48833.0,Monday
2017-04-04,50891.0,Tuesday
2017-04-05,53655.0,Wednesday
2017-04-06,55537.0,Thursday
2017-04-07,57419.0,Friday
2017-04-08,44409.0,Saturday
2017-04-09,31615.0,Sunday
2017-04-10,45346.0,Monday
2017-04-11,49017.0,Tuesday
2017-04-12,54351.0,Wednesday
2017-04-13,42650.0,Thursday
2017-04-14,32588.0,Friday
2017-04-15,38688.0,Saturday
2017-04-16,42272.0,Sunday
2017-04-17,47573.0,Monday
2017-04-18,49557.0,Tuesday
2017-04-19,50244.0,Wednesday
2017-04-20,54288.0,Thursday
2017-04-21,56002.0,Friday
2017-04-22,45893.0,Saturday
2017-04-23,38668.0,Sunday
2017-04-24,47529.0,Monday
2017-04-25,47420.0,Tuesday
2017-04-26,51580.0,Wednesday
2017-04-27,53686.0,Thursday
2017-04-28,57473.0,Friday
2017-04-29,48393.0,Saturday
2017-04-30,44865.0,Sunday
2017-05-01,35547.0,Monday
2017-05-02,48208.0,Tuesday
2017-05-03,50211.0,Wednesday
2017-05-04,53313.0,Thursday
2017-05-05,56077.0,Friday
2017-05-06,46876.0,Saturday
2017-05-07,35643.0,Sunday
2017-05-08,45178.0,Monday
2017-05-09,30152.0,Tuesday
2017-05-10,48562.0,Wednesday
2017-05-11,51543.0,Thursday
2017-05-12,50388.0,Friday
2017-05-13,43826.0,Saturday
2017-05-14,39423.0,Sunday
2017-05-15,48099.0,Monday
2017-05-16,48938.0,Tuesday
2017-05-17,48873.0,Wednesday
2017-05-18,49381.0,Thursday
2017-05-19,50899.0,Friday
2017-05-20,44007.0,Saturday
2017-05-21,34043.0,Sunday
2017-05-22,46186.0,Monday
2017-05-23,47902.0,Tuesday
2017-05-24,52506.0,Wednesday
2017-05-25,30479.0,Thursday
2017-05-26,50885.0,Friday
2017-05-27,43087.0,Saturday
2017-05-28,36009.0,Sunday
2017-05-29,46552.0,Monday
2017-05-30,48109.0,Tuesday
2017-05-31,46234.0,Wednesday
2017-06-01,50576.0,Thursday
2017-06-02,51795.0,Friday
2017-06-03,40054.0,Saturday
2017-06-04,36617.0,Sunday
2017-06-05,46609.0,Monday
2017-06-06,47788.0,Tuesday
2017-06-07,50266.0,Wednesday
2017-06-08,48962.0,Thursday
2017-06-09,54965.0,Friday
2017-06-10,46901.0,Saturday
2017-06-11,39656.0,Sunday
2017-06-12,47622.0,Monday
2017-06-13,48274.0,Tuesday
2017-06-14,48349.0,Wednesday
2017-06-15,52191.0,Thursday
2017-06-16,55347.0,Friday
2017-06-17,39192.0,Saturday
2017-06-18,37147.0,Sunday
2017-06-19,48306.0,Monday
2017-06-20,32336.0,Tuesday
2017-06-21,48103.0,Wednesday
2017-06-22,52155.0,Thursday
2017-06-23,53526.0,Friday
2017-06-24,43183.0,Saturday
2017-06-25,39042.0,Sunday
2017-06-26,48073.0,Monday
2017-06-27,43811.0,Tuesday
2017-06-28,48559.0,Wednesday
2017-06-29,53626.0,Thursday
2017-06-30,55433.0,Friday
2017-07-01,45628.0,Saturday
2017-07-02,40770.0,Sunday
2017-07-03,46961.0,Monday
2017-07-04,47005.0,Tuesday
2017-07-05,50344.0,Wednesday
2017-07-06,51034.0,Thursday
2017-07-07,52293.0,Friday
2017-07-08,41944.0,Saturday
2017-07-09,33578.0,Sunday
2017-07-10,47989.0,Monday
2017-07-11,51702.0,Tuesday
2017-07-12,50870.0,Wednesday
2017-07-13,55361.0,Thursday
2017-07-14,56947.0,Friday
2017-07-15,45283.0,Saturday
2017-07-16,39618.0,Sunday
2017-07-17,50486.0,Monday
2017-07-18,49725.0,Tuesday
2017-07-19,53875.0,Wednesday
2017-07-20,53213.0,Thursday
2017-07-21,57344.0,Friday
2017-07-22,48225.0,Saturday
2017-07-23,44288.0,Sunday
2017-07-24,48188.0,Monday
2017-07-25,50589.0,Tuesday
2017-07-26,48454.0,Wednesday
2017-07-27,55684.0,Thursday
2017-07-28,56792.0,Friday
2017-07-29,46408.0,Saturday
2017-07-30,36125.0,Sunday
2017-07-31,46097.0,Monday
2017-08-01,47043.0,Tuesday
2017-08-02,50552.0,Wednesday
2017-08-03,52686.0,Thursday
2017-08-04,55788.0,Friday
2017-08-05,47975.0,Saturday
2017-08-06,45023.0,Sunday
2017-08-07,45662.0,Monday
2017-08-08,49491.0,Tuesday
2017-08-09,53266.0,Wednesday
2017-08-10,55239.0,Thursday
2017-08-11,53992.0,Friday
2017-08-12,41545.0,Saturday
2017-08-13,35050.0,Sunday
2017-08-14,50265.0,Monday
2017-08-15,46575.0,Tuesday
2017-08-16,52802.0,Wednesday
2017-08-17,52620.0,Thursday
2017-08-18,57203.0,Friday
2017-08-19,40555.0,Saturday
2017-08-20,37223.0,Sunday
2017-08-21,39266.0,Monday
2017-08-22,40489.0,Tuesday
2017-08-23,52553.0,Wednesday
2017-08-24,52294.0,Thursday
2017-08-25,53062.0,Friday
2017-08-26,43345.0,Saturday
2017-08-27,35978.0,Sunday
2017-08-28,48545.0,Monday
2017-08-29,47960.0,Tuesday
2017-08-30,52580.0,Wednesday
2017-08-31,55605.0,Thursday
2017-09-01,53217.0,Friday
2017-09-02,46608.0,Saturday
2017-09-03,33144.0,Sunday
2017-09-04,48389.0,Monday
2017-09-05,50570.0,Tuesday
2017-09-06,52523.0,Wednesday
2017-09-07,56435.0,Thursday
2017-09-08,59010.0,Friday
2017-09-09,44322.0,Saturday
2017-09-10,26684.0,Sunday
2017-09-11,51330.0,Monday
2017-09-12,52612.0,Tuesday
2017-09-13,54362.0,Wednesday
2017-09-14,56249.0,Thursday
2017-09-15,59496.0,Friday
2017-09-16,50885.0,Saturday
2017-09-17,49586.0,Sunday
2017-09-18,48697.0,Monday
2017-09-19,51556.0,Tuesday
2017-09-20,53568.0,Wednesday
2017-09-21,46125.0,Thursday
2017-09-22,58152.0,Friday
2017-09-23,49990.0,Saturday
2017-09-24,45911.0,Sunday
2017-09-25,50888.0,Monday
2017-09-26,49890.0,Tuesday
2017-09-27,53277.0,Wednesday
2017-09-28,57156.0,Thursday
2017-09-29,59604.0,Friday
2017-09-30,49091.0,Saturday
2017-10-01,37765.0,Sunday
2017-10-02,49915.0,Monday
2017-10-03,52889.0,Tuesday
2017-10-04,54565.0,Wednesday
2017-10-05,56841.0,Thursday
2017-10-06,61099.0,Friday
2017-10-07,50757.0,Saturday
2017-10-08,43852.0,Sunday
2017-10-09,52788.0,Monday
2017-10-10,52705.0,Tuesday
2017-10-11,57090.0,Wednesday
2017-10-12,55265.0,Thursday
2017-10-13,61421.0,Friday
2017-10-14,53235.0,Saturday
2017-10-15,45328.0,Sunday
2017-10-16,45216.0,Monday
2017-10-17,51178.0,Tuesday
2017-10-18,51731.0,Wednesday
2017-10-19,55168.0,Thursday
2017-10-20,58594.0,Friday
2017-10-21,43819.0,Saturday
2017-10-22,36865.0,Sunday
2017-10-23,50902.0,Monday
2017-10-24,51590.0,Tuesday
2017-10-25,55694.0,Wednesday
2017-10-26,55296.0,Thursday
2017-10-27,57199.0,Friday
2017-10-28,51497.0,Saturday
2017-10-29,44472.0,Sunday
2017-10-30,51266.0,Monday
2017-10-31,51354.0,Tuesday
2017-11-01,54906.0,Wednesday
2017-11-02,53374.0,Thursday
2017-11-03,56977.0,Friday
2017-11-04,45356.0,Saturday
2017-11-05,40714.0,Sunday
2017-11-06,51784.0,Monday
2017-11-07,52720.0,Tuesday
2017-11-08,53623.0,Wednesday
2017-11-09,57499.0,Thursday
2017-11-10,61382.0,Friday
2017-11-11,52125.0,Saturday
2017-11-12,46511.0,Sunday
2017-11-13,52328.0,Monday
2017-11-14,52579.0,Tuesday
2017-11-15,54882.0,Wednesday
2017-11-16,57253.0,Thursday
2017-11-17,61259.0,Friday
2017-11-18,50018.0,Saturday
2017-11-19,48944.0,Sunday
2017-11-20,35200.0,Monday
2017-11-21,53156.0,Tuesday
2017-11-22,53962.0,Wednesday
2017-11-23,57101.0,Thursday
2017-11-24,61594.0,Friday
2017-11-25,52245.0,Saturday
2017-11-26,45795.0,Sunday
2017-11-27,52548.0,Monday
2017-11-28,54324.0,Tuesday
2017-11-29,53314.0,Wednesday
2017-11-30,57955.0,Thursday
2017-12-01,60985.0,Friday
2017-12-02,52153.0,Saturday
2017-12-03,40691.0,Sunday
2017-12-04,51780.0,Monday
2017-12-05,53945.0,Tuesday
2017-12-06,56005.0,Wednesday
2017-12-07,63127.0,Thursday
2017-12-08,44526.0,Friday
2017-12-09,46084.0,Saturday
2017-12-10,49524.0,Sunday
2017-12-11,53051.0,Monday
2017-12-12,51665.0,Tuesday
2017-12-13,50544.0,Wednesday
2017-12-14,50589.0,Thursday
2017-12-15,60280.0,Friday
2017-12-16,52392.0,Saturday
2017-12-17,46542.0,Sunday
2017-12-18,37240.0,Monday
2017-12-19,49004.0,Tuesday
2017-12-20,54996.0,Wednesday
2017-12-21,56955.0,Thursday
2017-12-22,58878.0,Friday
2017-12-23,43724.0,Saturday
2017-12-24,26805.0,Sunday
2017-12-25,32852.0,Monday
2017-12-26,51865.0,Tuesday
2017-12-27,52909.0,Wednesday
2017-12-28,54312.0,Thursday
2017-12-29,54556.0,Friday
2017-12-30,39969.0,Saturday
2017-12-31,23229.0,Sunday
2018-01-01,30735.0,Monday
2018-01-02,47130.0,Tuesday
2018-01-03,48162.0,Wednesday
2018-01-04,47953.0,Thursday
2018-01-05,49505.0,Friday
2018-01-06,39235.0,Saturday
2018-01-07,37522.0,Sunday
2018-01-08,48010.0,Monday
2018-01-09,47033.0,Tuesday
2018-01-10,48454.0,Wednesday
2018-01-11,48229.0,Thursday
2018-01-12,51792.0,Friday
2018-01-13,38943.0,Saturday
2018-01-14,33319.0,Sunday
2018-01-15,49201.0,Monday
2018-01-16,48048.0,Tuesday
2018-01-17,48340.0,Wednesday
2018-01-18,51548.0,Thursday
2018-01-19,52287.0,Friday
2018-01-20,41208.0,Saturday
2018-01-21,37727.0,Sunday
2018-01-22,48508.0,Monday
2018-01-23,47019.0,Tuesday
2018-01-24,48876.0,Wednesday
2018-01-25,49963.0,Thursday
2018-01-26,52881.0,Friday
2018-01-27,41907.0,Saturday
2018-01-28,38733.0,Sunday
2018-01-29,49726.0,Monday
2018-01-30,48296.0,Tuesday
2018-01-31,51377.0,Wednesday
2018-02-01,53306.0,Thursday
2018-02-02,55008.0,Friday
2018-02-03,42606.0,Saturday
2018-02-04,39956.0,Sunday
2018-02-05,49983.0,Monday
2018-02-06,49407.0,Tuesday
2018-02-07,51323.0,Wednesday
2018-02-08,53707.0,Thursday
2018-02-09,56494.0,Friday
2018-02-10,46189.0,Saturday
2018-02-11,40941.0,Sunday
2018-02-12,39217.0,Monday
2018-02-13,36454.0,Tuesday
2018-02-14,55174.0,Wednesday
2018-02-15,50497.0,Thursday
2018-02-16,55336.0,Friday
2018-02-17,43231.0,Saturday
2018-02-18,38824.0,Sunday
2018-02-19,47717.0,Monday
2018-02-20,49936.0,Tuesday
2018-02-21,32992.0,Wednesday
2018-02-22,52997.0,Thursday
2018-02-23,55294.0,Friday
2018-02-24,44712.0,Saturday
2018-02-25,42318.0,Sunday
2018-02-26,51311.0,Monday
2018-02-27,51972.0,Tuesday
2018-02-28,52184.0,Wednesday
2018-03-01,51412.0,Thursday
2018-03-02,55596.0,Friday
2018-03-03,46572.0,Saturday
2018-03-04,40721.0,Sunday
2018-03-05,49620.0,Monday
2018-03-06,49692.0,Tuesday
2018-03-07,52810.0,Wednesday
2018-03-08,47659.0,Thursday
2018-03-09,57329.0,Friday
2018-03-10,48079.0,Saturday
2018-03-11,41317.0,Sunday
2018-03-12,50217.0,Monday
2018-03-13,51112.0,Tuesday
2018-03-14,51868.0,Wednesday
2018-03-15,54717.0,Thursday
2018-03-16,58825.0,Friday
2018-03-17,50057.0,Saturday
2018-03-18,35917.0,Sunday
2018-03-19,53710.0,Monday
2018-03-20,53964.0,Tuesday
2018-03-21,56138.0,Wednesday
2018-03-22,56390.0,Thursday
2018-03-23,58905.0,Friday
2018-03-24,40697.0,Saturday
2018-03-25,41661.0,Sunday
2018-03-26,51369.0,Monday
2018-03-27,53358.0,Tuesday
2018-03-28,56407.0,Wednesday
2018-03-29,47490.0,Thursday
2018-03-30,38627.0,Friday
2018-03-31,38603.0,Saturday
2018-04-01,39691.0,Sunday
2018-04-02,38441.0,Monday
2018-04-03,51353.0,Tuesday
2018-04-04,52218.0,Wednesday
2018-04-05,54919.0,Thursday
2018-04-06,48067.0,Friday
2018-04-07,43842.0,Saturday
2018-04-08,34885.0,Sunday
2018-04-09,49212.0,Monday
2018-04-10,50463.0,Tuesday
2018-04-11,45484.0,Wednesday
2018-04-12,52474.0,Thursday
2018-04-13,55330.0,Friday
2018-04-14,46853.0,Saturday
2018-04-15,39439.0,Sunday
2018-04-16,46399.0,Monday
2018-04-17,48089.0,Tuesday
2018-04-18,49309.0,Wednesday
2018-04-19,52004.0,Thursday
2018-04-20,50674.0,Friday
2018-04-21,41736.0,Saturday
2018-04-22,37693.0,Sunday
2018-04-23,47175.0,Monday
2018-04-24,46438.0,Tuesday
2018-04-25,49869.0,Wednesday
2018-04-26,54744.0,Thursday
2018-04-27,55126.0,Friday
2018-04-28,41633.0,Saturday
2018-04-29,27169.0,Sunday
2018-04-30,38739.0,Monday
2018-05-01,28870.0,Tuesday
2018-05-02,44380.0,Wednesday
2018-05-03,50125.0,Thursday
2018-05-04,50518.0,Friday
2018-05-05,39135.0,Saturday
2018-05-06,35703.0,Sunday
2018-05-07,47323.0,Monday
2018-05-08,44205.0,Tuesday
2018-05-09,49915.0,Wednesday
2018-05-10,47745.0,Thursday
2018-05-11,50275.0,Friday
2018-05-12,45813.0,Saturday
2018-05-13,38839.0,Sunday
2018-05-14,48050.0,Monday
2018-05-15,47896.0,Tuesday
2018-05-16,46209.0,Wednesday
2018-05-17,48716.0,Thursday
2018-05-18,53458.0,Friday
2018-05-19,43850.0,Saturday
2018-05-20,37125.0,Sunday
2018-05-21,46627.0,Monday
2018-05-22,48025.0,Tuesday
2018-05-23,45658.0,Wednesday
2018-05-24,56325.0,Thursday
2018-05-25,36757.0,Friday
2018-05-26,40898.0,Saturday
2018-05-27,36419.0,Sunday
2018-05-28,44249.0,Monday
2018-05-29,48060.0,Tuesday
2018-05-30,45307.0,Wednesday
2018-05-31,48069.0,Thursday
2018-06-01,43349.0,Friday
2018-06-02,42642.0,Saturday
2018-06-03,35693.0,Sunday
2018-06-04,42555.0,Monday
2018-06-05,45862.0,Tuesday
2018-06-06,46033.0,Wednesday
2018-06-07,46875.0,Thursday
2018-06-08,51873.0,Friday
2018-06-09,45745.0,Saturday
2018-06-10,35348.0,Sunday
2018-06-11,45149.0,Monday
2018-06-12,44471.0,Tuesday
2018-06-13,45785.0,Wednesday
2018-06-14,40543.0,Thursday
2018-06-15,52387.0,Friday
2018-06-16,34130.0,Saturday
2018-06-17,34369.0,Sunday
2018-06-18,43542.0,Monday
2018-06-19,49412.0,Tuesday
2018-06-20,29428.0,Wednesday
2018-06-21,42149.0,Thursday
2018-06-22,48624.0,Friday
2018-06-23,40744.0,Saturday
2018-06-24,34255.0,Sunday
2018-06-25,38312.5,Monday
2018-06-26,42370.0,Tuesday
2018-06-27,48293.0,Wednesday
2018-06-28,48170.0,Thursday
2018-06-29,52230.0,Friday
2018-06-30,32740.0,Saturday
2018-07-01,30004.0,Sunday
2018-07-02,44289.0,Monday
2018-07-03,46108.0,Tuesday
2018-07-04,46669.0,Wednesday
2018-07-05,46014.0,Thursday
2018-07-06,51226.0,Friday
2018-07-07,38678.0,Saturday
2018-07-08,37028.0,Sunday
2018-07-09,30377.0,Monday
2018-07-10,43739.0,Tuesday
2018-07-11,47533.0,Wednesday
2018-07-12,49618.0,Thursday
2018-07-13,54061.0,Friday
2018-07-14,47156.0,Saturday
2018-07-15,39851.0,Sunday
2018-07-16,47438.0,Monday
2018-07-17,44873.0,Tuesday
2018-07-18,44304.0,Wednesday
2018-07-19,43702.0,Thursday
2018-07-20,46247.0,Friday
2018-07-21,45071.0,Saturday
2018-07-22,42882.0,Sunday
2018-07-23,43598.0,Monday
2018-07-24,42855.0,Tuesday
2018-07-25,44199.0,Wednesday
2018-07-26,42655.0,Thursday
2018-07-27,46991.0,Friday
2018-07-28,39138.0,Saturday
2018-07-29,34834.0,Sunday
2018-07-30,41217.0,Monday
2018-07-31,42866.0,Tuesday
2018-08-01,43846.0,Wednesday
2018-08-02,44166.0,Thursday
2018-08-03,48841.0,Friday
2018-08-04,39663.0,Saturday
2018-08-05,40356.0,Sunday
2018-08-06,42028.0,Monday
2018-08-07,42409.0,Tuesday
2018-08-08,37645.0,Wednesday
2018-08-09,45550.0,Thursday
2018-08-10,50404.0,Friday
2018-08-11,42170.0,Saturday
2018-08-12,41201.0,Sunday
2018-08-13,42543.0,Monday
2018-08-14,44455.0,Tuesday
2018-08-15,46799.0,Wednesday
2018-08-16,47031.0,Thursday
2018-08-17,51169.0,Friday
2018-08-18,41208.0,Saturday
2018-08-19,35102.0,Sunday
2018-08-20,34953.0,Monday
2018-08-21,43685.0,Tuesday
2018-08-22,44104.0,Wednesday
2018-08-23,45555.0,Thursday
2018-08-24,48000.0,Friday
2018-08-25,40181.0,Saturday
2018-08-26,34462.0,Sunday
2018-08-27,41270.0,Monday
